i	j	kin	ibd0	ibd1	ibd2
{"s":"NA18502"}	{"s":"NA19127"}	3.8147e-03	9.8966e-01	5.4155e-03	4.9216e-03
{"s":"NA18502"}	{"s":"NA19128"}	1.8819e-02	9.2773e-01	6.9273e-02	3.0013e-03
{"s":"NA18502"}	{"s":"NA19129"}	1.4784e-02	9.3967e-01	6.1527e-02	-1.1955e-03
{"s":"NA18502"}	{"s":"NA19130"}	-1.0966e-02	1.0449e+00	-4.6031e-02	1.0829e-03
{"s":"NA18502"}	{"s":"NA19131"}	3.5940e-03	9.8225e-01	2.1130e-02	-3.3767e-03
{"s":"NA18502"}	{"s":"NA19132"}	-4.7726e-03	1.0209e+00	-2.2761e-02	1.8352e-03
{"s":"NA18502"}	{"s":"NA19137"}	-6.8903e-03	1.0297e+00	-3.1934e-02	2.1865e-03
{"s":"NA18502"}	{"s":"NA19138"}	-1.3032e-02	1.0519e+00	-5.1702e-02	-2.1357e-04
{"s":"NA18502"}	{"s":"NA19139"}	-1.2903e-02	1.0523e+00	-5.2901e-02	6.4491e-04
{"s":"NA18502"}	{"s":"NA19140"}	-1.5306e-02	1.0651e+00	-6.9002e-02	3.8888e-03
{"s":"NA18502"}	{"s":"NA19141"}	-3.4084e-02	1.1420e+00	-1.4766e-01	5.6625e-03
{"s":"NA18502"}	{"s":"NA19142"}	-3.0662e-02	1.1209e+00	-1.1909e-01	-1.7765e-03
{"s":"NA18502"}	{"s":"NA19143"}	-2.1401e-02	1.0819e+00	-7.8152e-02	-3.7256e-03
{"s":"NA18502"}	{"s":"NA19144"}	-3.0461e-02	1.1252e+00	-1.2849e-01	3.3239e-03
{"s":"NA18502"}	{"s":"NA19145"}	-3.2336e-02	1.1287e+00	-1.2814e-01	-6.0264e-04
{"s":"NA18502"}	{"s":"NA19152"}	-2.7084e-02	1.1112e+00	-1.1416e-01	2.9140e-03
{"s":"NA18502"}	{"s":"NA19153"}	-7.3329e-03	1.0318e+00	-3.4201e-02	2.4347e-03
{"s":"NA18502"}	{"s":"NA19154"}	-2.2302e-02	1.0917e+00	-9.4143e-02	2.4671e-03
{"s":"NA18502"}	{"s":"NA19159"}	9.8685e-03	9.6252e-01	3.5494e-02	1.9900e-03
{"s":"NA18502"}	{"s":"NA19160"}	-2.7448e-03	1.0118e+00	-1.2634e-02	8.2726e-04
{"s":"NA18502"}	{"s":"NA19161"}	2.9252e-03	9.8775e-01	1.2806e-02	-5.5258e-04
{"s":"NA18502"}	{"s":"NA19171"}	-2.9873e-02	1.1216e+00	-1.2361e-01	2.0587e-03
